Unnamed: 0,Period,Location,Sector,Expenditure(million USD),GDP(%)
20000,2017,Luxembourg,Communication,31.507,0.04795
20001,2017,Luxembourg,Fuel and energy,68.877,0.10482
20002,2017,Luxembourg,Environment protection,536.452,0.81637
20003,2017,Luxembourg,Housing and community amenities,337.537,0.51366
20004,2017,Luxembourg,Health,3278.256,4.98881
20005,2017,Luxembourg,Education,2917.808,4.44029
20006,2017,Luxembourg,Social protection,11601.148,17.65449
20007,2017,Luxembourg,General public services,3222.314,4.90368
20008,2017,Luxembourg,Defence,221.045,0.33638
20009,2017,Luxembourg,Public order and safety,672.544,1.02347
20010,2017,Luxembourg,"Recreation, culture and religion",786.721,1.19722
20011,2017,Luxembourg,"General economic, commercial and labour affairs",412.221,0.62731
20012,2017,Luxembourg,Other industries,103.987,0.15825
20013,2017,Luxembourg,RandD Economic affairs,284.77,0.43336
20014,2017,Luxembourg,Economic affairs n.e.c.,7.286,0.01109
20015,2017,Malaysia,Total function,60452.316,18.94409
20016,2017,Malaysia,Housing and community amenities,3203.647,1.00393
20017,2017,Malaysia,Health,5935.055,1.85988
20018,2017,Malaysia,Education,14075.86,4.41099
20019,2017,Malaysia,General public services,20999.535,6.58068
20020,2017,Malaysia,Defence,3720.103,1.16578
20021,2017,Malaysia,Public order and safety,3567.227,1.11787
20022,2017,Maldives,Total function,1462.118,30.75433
20023,2017,Maldives,Environment protection,64.217,1.35074
20024,2017,Maldives,Housing and community amenities,96.582,2.03151
20025,2017,Maldives,Health,243.736,5.12677
20026,2017,Maldives,Education,184.111,3.87261
20027,2017,Maldives,Social protection,191.484,4.02769
20028,2017,Maldives,General public services,145.348,3.05726
20029,2017,Maldives,Defence,80.093,1.68468
20030,2017,Maldives,Public order and safety,153.327,3.22509
20031,2017,Maldives,"Recreation, culture and religion",53.04,1.11564
20032,2017,Malta,Total function,4645.814,34.45286
20033,2017,Malta,"Agriculture, forestry, fishing and hunting",50.384,0.37364
20034,2017,Malta,"Mining, manufacturing and construction",34.681,0.25719
20035,2017,Malta,Transport,170.921,1.26753
20036,2017,Malta,Communication,5.422,0.04021
20037,2017,Malta,Fuel and energy,70.153,0.52025
20038,2017,Malta,Environment protection,127.993,0.94918
20039,2017,Malta,Housing and community amenities,33.213,0.2463
20040,2017,Malta,Health,688.767,5.10782
20041,2017,Malta,Education,627.312,4.65208
20042,2017,Malta,Social protection,1445.427,10.71913
20043,2017,Malta,General public services,721.301,5.34909
20044,2017,Malta,Defence,80.094,0.59397
20045,2017,Malta,Public order and safety,143.357,1.06312
20046,2017,Malta,"Recreation, culture and religion",157.478,1.16784
20047,2017,Malta,"General economic, commercial and labour affairs",191.142,1.41749
20048,2017,Malta,Other industries,93.989,0.69702
20049,2017,Malta,RandD Economic affairs,2.937,0.02178
20050,2017,Malta,Economic affairs n.e.c.,1.356,0.01005
20051,2017,Marshall Islands,Total function,128.938,60.51676
20052,2017,Marshall Islands,Environment protection,7.298,3.4253
20053,2017,Marshall Islands,Housing and community amenities,2.32,1.08889
20054,2017,Marshall Islands,Health,25.011,11.73886
20055,2017,Marshall Islands,Education,32.256,15.13928
20056,2017,Marshall Islands,Social protection,7.479,3.51025
20057,2017,Marshall Islands,General public services,25.813,12.11527
20058,2017,Marshall Islands,Public order and safety,6.145,2.88414
20059,2017,Marshall Islands,"Recreation, culture and religion",0.177,0.08307
20060,2017,Mauritius,Total function,3341.076,24.3634
20061,2017,Mauritius,Environment protection,72.748,0.53048
20062,2017,Mauritius,Housing and community amenities,83.699,0.61034
20063,2017,Mauritius,Health,334.355,2.43814
20064,2017,Mauritius,Education,528.221,3.85183
20065,2017,Mauritius,Social protection,771.57,5.62635
20066,2017,Mauritius,General public services,685.028,4.99528
20067,2017,Mauritius,Defence,22.887,0.1669
20068,2017,Mauritius,Public order and safety,299.254,2.18219
20069,2017,Mauritius,"Recreation, culture and religion",40.304,0.2939
