Location,Period,Dimension,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
Ethiopia,2000,Male,96.82 [90.76-103.3]
Ethiopia,2000,Female,76.61 [71.64-82.04]
Ethiopia,1999,Both sexes,90.16 [84.73-95.99]
Ethiopia,1999,Male,100.2 [94.01-106.9]
Ethiopia,1999,Female,79.56 [74.51-85.13]
Ethiopia,1998,Both sexes,93.35 [87.79-99.39]
Ethiopia,1998,Male,103.6 [97.2-110.5]
Ethiopia,1998,Female,82.55 [77.24-88.26]
Ethiopia,1997,Both sexes,96.61 [90.84-102.8]
Ethiopia,1997,Male,107.2 [100.5-114.2]
Ethiopia,1997,Female,85.56 [80.01-91.44]
Ethiopia,1996,Both sexes,99.99 [94.04-106.4]
Ethiopia,1996,Male,110.8 [103.9-118.1]
Ethiopia,1996,Female,88.71 [82.97-94.77]
Ethiopia,1995,Both sexes,103.4 [97.35-110.2]
Ethiopia,1995,Male,114.6 [107.4-122.3]
Ethiopia,1995,Female,91.83 [85.9-98.23]
Ethiopia,1994,Both sexes,106.9 [100.6-114]
Ethiopia,1994,Male,118.2 [110.9-126.4]
Ethiopia,1994,Female,95.13 [88.91-101.9]
Ethiopia,1993,Both sexes,110.4 [103.7-117.8]
Ethiopia,1993,Male,121.9 [114.2-130.3]
Ethiopia,1993,Female,98.38 [91.8-105.5]
Ethiopia,1992,Both sexes,113.6 [106.6-121.4]
Ethiopia,1992,Male,125.2 [117.3-134.1]
Ethiopia,1992,Female,101.4 [94.56-108.8]
Ethiopia,1991,Both sexes,116.4 [109.1-124.5]
Ethiopia,1991,Male,128.2 [120.1-137.4]
Ethiopia,1991,Female,104.1 [96.98-111.9]
Ethiopia,1990,Both sexes,119.1 [111.5-127.4]
Ethiopia,1990,Male,130.9 [122.4-140.5]
Ethiopia,1990,Female,106.6 [99.24-114.7]
Ethiopia,1989,Both sexes,121.4 [113.7-130.1]
Ethiopia,1989,Male,133.4 [124.6-143.2]
Ethiopia,1989,Female,108.9 [101.3-117.2]
Ethiopia,1988,Both sexes,123.7 [115.7-132.6]
Ethiopia,1988,Male,135.6 [126.4-145.8]
Ethiopia,1988,Female,111.1 [103.2-119.7]
Ethiopia,1987,Both sexes,125.9 [117.5-135.1]
Ethiopia,1987,Male,137.9 [128.3-148.3]
Ethiopia,1987,Female,113.2 [105-122.1]
Ethiopia,1986,Both sexes,128.1 [119.5-137.7]
Ethiopia,1986,Male,140.4 [130.4-151.2]
Ethiopia,1986,Female,115.1 [106.7-124.5]
Ethiopia,1985,Both sexes,130.3 [121.3-140.4]
Ethiopia,1985,Male,143 [132.7-154.4]
Ethiopia,1985,Female,117.1 [108.4-126.9]
Ethiopia,1984,Both sexes,132.7 [123.3-143.4]
Ethiopia,1984,Male,145.6 [135-157.6]
Ethiopia,1984,Female,119.1 [110.1-129.4]
Ethiopia,1983,Both sexes,135.1 [125.2-146.3]
Ethiopia,1983,Male,148.3 [137.2-160.8]
Ethiopia,1983,Female,121.2 [111.7-131.9]
Ethiopia,1982,Both sexes,137.3 [126.9-149]
Ethiopia,1982,Male,150.6 [138.9-163.7]
Ethiopia,1982,Female,123.3 [113.3-134.4]
Ethiopia,1981,Both sexes,139.3 [128.4-151.5]
Ethiopia,1981,Male,152.7 [140.3-166.3]
Ethiopia,1981,Female,125.1 [114.8-137]
Ethiopia,1980,Both sexes,140.8 [129.5-153.5]
Ethiopia,1980,Male,154.3 [141.4-168.5]
Ethiopia,1980,Female,126.6 [115.8-138.9]
Ethiopia,1979,Both sexes,141.9 [130.1-155.3]
Ethiopia,1979,Male,155.5 [141.9-170.5]
Ethiopia,1979,Female,127.7 [116.5-140.5]
Ethiopia,1978,Both sexes,142.7 [130.3-156.3]
Ethiopia,1978,Male,156.2 [142.2-171.8]
Ethiopia,1978,Female,128.4 [116.8-141.6]
Ethiopia,1977,Both sexes,143.1 [130.2-157.4]
Ethiopia,1977,Male,156.7 [141.9-172.9]
Ethiopia,1977,Female,128.9 [116.7-142.8]
Ethiopia,1976,Both sexes,143.4 [129.9-158.8]
Ethiopia,1976,Male,156.9 [141.4-174.2]
Ethiopia,1976,Female,129.2 [116.4-143.9]
Ethiopia,1975,Both sexes,143.7 [128.8-160.6]
Ethiopia,1975,Male,157 [140.3-175.7]
Ethiopia,1975,Female,129.4 [115.7-145.4]
Ethiopia,1974,Both sexes,143.8 [127.8-162.2]
Ethiopia,1974,Male,157.2 [139.1-177.6]
Ethiopia,1974,Female,129.8 [114.8-147.3]
Ethiopia,1973,Both sexes,144 [126.5-164.3]
Ethiopia,1973,Male,157.3 [137.7-179.7]
Ethiopia,1973,Female,129.9 [113.8-149.1]
Ethiopia,1972,Both sexes,144.2 [125.3-166.6]
Ethiopia,1972,Male,157.5 [136.4-182.1]
Ethiopia,1972,Female,130.1 [112.5-151.2]
Ethiopia,1971,Both sexes,144.4 [124.1-168.6]
Ethiopia,1971,Male,157.7 [135-184]
Ethiopia,1971,Female,130.4 [111.3-153.2]
Ethiopia,1970,Both sexes,144.7 [122.6-170.9]
Ethiopia,1970,Male,158 [133.3-187]
Ethiopia,1970,Female,130.7 [110.2-155.5]
Ethiopia,1969,Both sexes,144.8 [121-174]
Ethiopia,1969,Male,158.1 [131.7-190.2]
Ethiopia,1969,Female,130.9 [108.8-158.2]
Ethiopia,1968,Both sexes,145 [119.4-177.5]
Ethiopia,1968,Male,158.5 [129.6-193.9]
Ethiopia,1968,Female,131.1 [107.5-161.5]
Ethiopia,1967,Both sexes,145.3 [117.2-181.5]
Ethiopia,1967,Male,158.5 [127.5-197.6]
Ethiopia,1967,Female,131.3 [105.7-164.8]
Ethiopia,1966,Both sexes,145.5 [114.8-185.6]
Ethiopia,1966,Male,158.9 [125.1-202.4]
Ethiopia,1966,Female,131.6 [103.4-168.4]
Fiji,2019,Both sexes,21.68 [19.52-24.08]
Fiji,2019,Male,23.56 [21.14-26.26]
Fiji,2019,Female,19.67 [17.63-21.94]
Fiji,2018,Both sexes,21.57 [19.91-23.37]
Fiji,2018,Male,23.44 [21.54-25.51]
Fiji,2018,Female,19.59 [17.94-21.35]
Fiji,2017,Both sexes,21.28 [19.95-22.71]
Fiji,2017,Male,23.13 [21.55-24.82]
Fiji,2017,Female,19.34 [17.96-20.78]
Fiji,2016,Both sexes,20.92 [19.77-22.15]
Fiji,2016,Male,22.72 [21.33-24.2]
Fiji,2016,Female,19.03 [17.8-20.31]
Fiji,2015,Both sexes,20.58 [19.51-21.68]
Fiji,2015,Male,22.33 [21.05-23.68]
Fiji,2015,Female,18.74 [17.58-19.92]
Fiji,2014,Both sexes,20.3 [19.3-21.35]
Fiji,2014,Male,22.01 [20.8-23.3]
Fiji,2014,Female,18.49 [17.4-19.62]
Fiji,2013,Both sexes,20.1 [19.18-21.09]
Fiji,2013,Male,21.79 [20.67-23.02]
Fiji,2013,Female,18.33 [17.33-19.39]
Fiji,2012,Both sexes,20.02 [19.19-20.92]
Fiji,2012,Male,21.68 [20.66-22.8]
Fiji,2012,Female,18.28 [17.34-19.25]
Fiji,2011,Both sexes,20.01 [19.28-20.82]
Fiji,2011,Male,21.67 [20.72-22.69]
Fiji,2011,Female,18.28 [17.41-19.18]
Fiji,2010,Both sexes,20.07 [19.39-20.81]
Fiji,2010,Male,21.72 [20.83-22.67]
Fiji,2010,Female,18.33 [17.51-19.2]
Fiji,2009,Both sexes,20.13 [19.49-20.82]
Fiji,2009,Male,21.78 [20.92-22.67]
Fiji,2009,Female,18.4 [17.62-19.21]
Fiji,2008,Both sexes,20.13 [19.51-20.78]
Fiji,2008,Male,21.74 [20.93-22.62]
Fiji,2008,Female,18.42 [17.68-19.22]
Fiji,2007,Both sexes,20.01 [19.43-20.63]
Fiji,2007,Male,21.6 [20.81-22.44]
