Location,Period,Dimension,Population using safely managed sanitation services (%)
Albania,2017,Total,39.86
Albania,2017,Urban,40.17
Albania,2017,Rural,39.39
Albania,2016,Total,39.85
Albania,2016,Urban,40.17
Albania,2016,Rural,39.39
Albania,2015,Total,39.84
Albania,2015,Urban,40.17
Albania,2015,Rural,39.39
Albania,2014,Total,39.83
Albania,2014,Urban,40.17
Albania,2014,Rural,39.39
Albania,2013,Total,39.6
Albania,2013,Urban,40.12
Albania,2013,Rural,38.95
Albania,2012,Total,39.3
Albania,2012,Urban,40.09
Albania,2012,Rural,38.36
Albania,2011,Total,38.97
Albania,2011,Urban,40.04
Albania,2011,Rural,37.77
Albania,2010,Total,38.64
Albania,2010,Urban,39.98
Albania,2010,Rural,37.18
Albania,2009,Total,38.29
Albania,2009,Urban,39.93
Albania,2009,Rural,36.59
Albania,2008,Total,37.94
Albania,2008,Urban,39.87
Albania,2008,Rural,36.0
Albania,2007,Total,37.62
Albania,2007,Urban,39.82
Albania,2007,Rural,35.52
Albania,2006,Total,37.72
Albania,2006,Urban,39.76
Albania,2006,Rural,35.84
Albania,2005,Total,37.82
Albania,2005,Urban,39.71
Albania,2005,Rural,36.16
Albania,2004,Total,37.93
Albania,2004,Urban,39.66
Albania,2004,Rural,36.48
Albania,2003,Total,38.09
Albania,2003,Urban,39.69
Albania,2003,Rural,36.8
Albania,2002,Total,38.25
Albania,2002,Urban,39.73
Albania,2002,Rural,37.12
Albania,2001,Total,38.43
Albania,2001,Urban,39.76
Albania,2001,Rural,37.44
Albania,2000,Total,38.61
Albania,2000,Urban,39.8
Albania,2000,Rural,37.76
Algeria,2017,Total,17.69
Algeria,2017,Urban,16.48
Algeria,2017,Rural,20.79
Algeria,2016,Total,17.71
Algeria,2016,Urban,16.48
Algeria,2016,Rural,20.79
Algeria,2015,Total,17.74
Algeria,2015,Urban,16.48
Algeria,2015,Rural,20.79
Algeria,2014,Total,17.81
Algeria,2014,Urban,16.59
Algeria,2014,Rural,20.68
Algeria,2013,Total,17.88
Algeria,2013,Urban,16.7
Algeria,2013,Rural,20.58
Algeria,2012,Total,17.94
Algeria,2012,Urban,16.8
Algeria,2012,Rural,20.48
Algeria,2011,Total,18.01
Algeria,2011,Urban,16.91
Algeria,2011,Rural,20.37
Algeria,2010,Total,18.07
Algeria,2010,Urban,17.01
Algeria,2010,Rural,20.27
Algeria,2009,Total,18.13
Algeria,2009,Urban,17.12
Algeria,2009,Rural,20.17
Algeria,2008,Total,18.19
Algeria,2008,Urban,17.22
Algeria,2008,Rural,20.06
Algeria,2007,Total,18.24
Algeria,2007,Urban,17.33
Algeria,2007,Rural,19.96
Algeria,2006,Total,18.29
Algeria,2006,Urban,17.43
Algeria,2006,Rural,19.86
Algeria,2005,Total,18.34
Algeria,2005,Urban,17.54
Algeria,2005,Rural,19.75
Algeria,2004,Total,18.38
Algeria,2004,Urban,17.64
Algeria,2004,Rural,19.65
Algeria,2003,Total,18.43
Algeria,2003,Urban,17.75
Algeria,2003,Rural,19.55
Algeria,2002,Total,18.47
Algeria,2002,Urban,17.85
Algeria,2002,Rural,19.44
Algeria,2001,Total,18.5
Algeria,2001,Urban,17.96
Algeria,2001,Rural,19.34
Algeria,2000,Total,18.53
Algeria,2000,Urban,18.07
Algeria,2000,Rural,19.24
Andorra,2017,Total,100.0
Andorra,2017,Urban,100.0
Andorra,2017,Rural,100.0
Andorra,2016,Total,100.0
Andorra,2016,Urban,100.0
Andorra,2016,Rural,100.0
Andorra,2015,Total,100.0
Andorra,2015,Urban,100.0
Andorra,2015,Rural,100.0
Andorra,2014,Total,100.0
Andorra,2014,Urban,100.0
Andorra,2014,Rural,100.0
Andorra,2013,Total,100.0
Andorra,2013,Urban,100.0
Andorra,2013,Rural,100.0
Andorra,2012,Total,100.0
Andorra,2012,Urban,100.0
Andorra,2012,Rural,100.0
Andorra,2011,Total,93.63
Andorra,2011,Urban,93.63
Andorra,2011,Rural,93.63
Andorra,2010,Total,86.45
Andorra,2010,Urban,86.45
Andorra,2010,Rural,86.45
Andorra,2009,Total,79.27
Andorra,2009,Urban,79.27
Andorra,2009,Rural,79.27
Andorra,2008,Total,72.08
Andorra,2008,Urban,72.08
Andorra,2008,Rural,72.08
Andorra,2007,Total,64.9
Andorra,2007,Urban,64.9
Andorra,2007,Rural,64.9
Andorra,2006,Total,57.71
Andorra,2006,Urban,57.71
Andorra,2006,Rural,57.71
Andorra,2005,Total,50.53
Andorra,2005,Urban,50.53
Andorra,2005,Rural,50.53
Andorra,2004,Total,43.34
Andorra,2004,Urban,43.34
Andorra,2004,Rural,43.34
Andorra,2003,Total,36.16
Andorra,2003,Urban,36.16
Andorra,2003,Rural,36.16
Andorra,2002,Total,28.97
Andorra,2002,Urban,28.97
Andorra,2002,Rural,28.97
Andorra,2001,Total,21.79
Andorra,2001,Urban,21.79
Andorra,2001,Rural,21.79
Andorra,2000,Total,14.6
Andorra,2000,Urban,14.6
Andorra,2000,Rural,14.6
Armenia,2017,Total,48.22
Armenia,2017,Urban,45.26
Armenia,2016,Total,48.3
Armenia,2016,Urban,45.41
Armenia,2015,Total,48.32
Armenia,2015,Urban,45.48
Armenia,2014,Total,48.28
Armenia,2014,Urban,45.48
Armenia,2013,Total,48.25
Armenia,2013,Urban,45.48
Armenia,2012,Total,48.21
Armenia,2012,Urban,45.48
Armenia,2011,Total,48.17
Armenia,2011,Urban,45.48
Armenia,2010,Total,48.14
Armenia,2010,Urban,45.48
Armenia,2009,Total,48.1
Armenia,2009,Urban,45.48
Armenia,2008,Total,48.05
Armenia,2008,Urban,45.47
Armenia,2007,Total,48.01
Armenia,2007,Urban,45.47
Armenia,2006,Total,47.97
Armenia,2006,Urban,45.46
Armenia,2005,Total,47.9
