Location,Period,Dimension,Under-five mortality rate (probability of dying by age 5 per 1000 live births)
Ethiopia,2000,Male,150.6 [140.3-161.9]
Ethiopia,2000,Female,129.5 [120.4-139.3]
Ethiopia,1999,Both sexes,146.2 [136.3-156.9]
Ethiopia,1999,Male,156.7 [146-168.4]
Ethiopia,1999,Female,135.1 [125.7-145.3]
Ethiopia,1998,Both sexes,152.1 [141.9-163.2]
Ethiopia,1998,Male,162.8 [151.6-174.8]
Ethiopia,1998,Female,140.8 [131-151.3]
Ethiopia,1997,Both sexes,158.1 [147.4-169.7]
Ethiopia,1997,Male,169.1 [157.5-181.7]
Ethiopia,1997,Female,146.6 [136.4-157.6]
Ethiopia,1996,Both sexes,164.4 [153.3-176.5]
Ethiopia,1996,Male,175.8 [163.7-188.8]
Ethiopia,1996,Female,152.5 [141.9-164]
Ethiopia,1995,Both sexes,170.9 [159.4-183.5]
Ethiopia,1995,Male,182.6 [170-196.2]
Ethiopia,1995,Female,158.8 [147.6-170.6]
Ethiopia,1994,Both sexes,177.5 [165.5-190.6]
Ethiopia,1994,Male,189.4 [176.4-203.6]
Ethiopia,1994,Female,165.1 [153.4-177.5]
Ethiopia,1993,Both sexes,184 [171.3-197.7]
Ethiopia,1993,Male,196 [182.4-210.9]
Ethiopia,1993,Female,171.3 [159-184.3]
Ethiopia,1992,Both sexes,189.9 [176.8-204.2]
Ethiopia,1992,Male,202.1 [188-217.5]
Ethiopia,1992,Female,177 [164.4-190.7]
Ethiopia,1991,Both sexes,195.2 [181.6-209.9]
Ethiopia,1991,Male,207.6 [193.3-223.5]
Ethiopia,1991,Female,182.1 [169-196.4]
Ethiopia,1990,Both sexes,199.9 [185.9-215.2]
Ethiopia,1990,Male,212.6 [197.6-229.2]
Ethiopia,1990,Female,186.7 [173.1-201.5]
Ethiopia,1989,Both sexes,204.3 [190-220]
Ethiopia,1989,Male,217.1 [201.7-234.1]
Ethiopia,1989,Female,190.9 [176.8-206.1]
Ethiopia,1988,Both sexes,208.4 [193.7-224.4]
Ethiopia,1988,Male,221.2 [205.2-238.6]
Ethiopia,1988,Female,194.8 [180.4-210.3]
Ethiopia,1987,Both sexes,212.4 [197.1-228.7]
Ethiopia,1987,Male,225.3 [209-242.7]
Ethiopia,1987,Female,198.7 [183.8-214.6]
Ethiopia,1986,Both sexes,216.3 [200.7-233.1]
Ethiopia,1986,Male,229.6 [212.7-247.5]
Ethiopia,1986,Female,202.3 [186.9-218.6]
Ethiopia,1985,Both sexes,220.4 [204.1-237.6]
Ethiopia,1985,Male,234.1 [216.8-252.5]
Ethiopia,1985,Female,206 [190.2-223]
Ethiopia,1984,Both sexes,224.5 [207.7-242.6]
Ethiopia,1984,Male,238.6 [220.6-258]
